Date,Open,High,Low,Close,Adj Close,Volume
2012-02-01,59.779999,61.220001,59.000000,60.810001,44.011742,3805400
2012-03-01,60.750000,60.880001,59.410000,60.450001,43.751179,4342700
2012-04-01,60.330002,60.900002,59.599998,60.700001,43.932137,3634100
2012-05-01,60.889999,60.980000,57.990002,58.150002,42.086555,4522300
2012-06-01,58.029999,59.529999,57.919998,58.880001,42.614891,2585000
2012-07-01,59.240002,60.259998,58.570000,60.259998,43.613659,1558800
2012-08-01,60.279999,60.970001,59.680000,60.820000,44.018970,1632000
2012-09-01,60.880001,62.770000,60.630001,61.959999,45.009861,3397600
2012-10-01,61.700001,62.900002,61.700001,62.060001,45.177601,2632500
2012-11-01,62.139999,63.150002,61.630001,63.150002,46.078175,3575900
2012-12-01,62.790001,64.029999,61.119999,63.540001,46.362755,7701300
2013-01-01,63.689999,63.740002,62.439999,63.520000,47.042351,5361700
2013-02-01,63.919998,63.970001,61.750000,62.070000,45.968479,3132400
2013-03-01,61.680000,62.150002,61.330002,62.090000,45.983288,3962000
2013-04-01,62.009998,64.050003,61.869999,63.779999,47.344719,5269000
2013-05-01,63.990002,64.029999,60.220001,60.430000,44.857975,5580200
2013-06-01,60.000000,60.700001,56.320000,57.570000,42.822239,4720900
2013-07-01,57.490002,59.189999,56.830002,58.400002,43.695602,2386700
2013-08-01,58.419998,59.389999,57.299999,57.340000,42.902481,1836200
2013-09-01,58.209999,59.860001,56.810001,59.590000,44.585968,2608600
2013-10-01,59.660000,61.169998,59.480000,60.410000,45.199497,3361900
2013-11-01,60.400002,60.400002,58.389999,59.160000,44.418530,3372700
2013-12-01,58.639999,59.310001,58.180000,58.450001,43.995419,2498300
2014-01-01,58.160000,58.770000,57.500000,57.720001,43.749321,2263300
2014-02-01,57.349998,59.459999,57.320000,59.380001,45.007538,2089200
2014-03-01,59.810001,60.119999,58.799999,60.090000,45.545677,1487400
2014-04-01,59.849998,61.279999,59.279999,61.240002,46.479954,1249100
2014-05-01,61.180000,62.000000,60.759998,61.619999,46.768368,831600
2014-06-01,61.580002,62.070000,60.630001,62.009998,47.289845,949100
2014-07-01,62.119999,62.740002,61.520000,61.869999,47.475094,1263100
2014-08-01,61.450001,62.470001,61.279999,62.259998,47.774345,1337500
2014-09-01,62.000000,62.000000,58.599998,58.730000,45.181034,1976200
2014-10-01,58.450001,60.450001,58.270000,58.939999,45.421379,3329400
2014-11-01,58.820000,59.590000,57.980000,58.700001,45.236412,1172300
2014-12-01,58.849998,59.099998,56.509998,56.950001,43.906441,2220100
2015-01-01,56.490002,57.459999,55.880001,56.060001,43.534851,1650800
2015-02-01,56.230000,56.779999,54.889999,55.689999,43.247517,1375200
2015-03-01,55.820000,55.849998,53.009998,54.560001,42.369991,1296800
2015-04-01,54.669998,57.060001,54.459999,56.900002,44.187168,3819900
2015-05-01,56.590000,57.240002,54.520000,55.070000,42.766041,3100500
2015-06-01,54.799999,55.660000,53.680000,54.910000,42.641796,1509300
2015-07-01,54.599998,54.720001,53.580002,54.139999,42.043831,1367600
2015-08-01,53.939999,54.060001,52.400002,52.410000,40.700352,1911200
