Date,Open,High,Low,Close,Adj Close,Volume
01-11-2012,21.365,21.535713,18.0625,20.902857,17.924156,12929851200
01-12-2012,21.201786,21.235357,17.901072,19.006071,16.372108,12132752800
01-01-2013,19.779285,19.821428,15.535714,16.2675,14.013056,13123423600
01-02-2013,16.396786,17.319286,15.630714,15.764286,13.579582,9344034000
01-03-2013,15.642857,16.78393,14.964286,15.809286,13.697714,9176876800
01-04-2013,15.782143,15.901786,13.753571,15.813571,13.701427,10963489600
01-05-2013,15.873571,16.633928,14.960714,16.061787,13.91649,9447530400
01-06-2013,16.0975,16.229643,13.888214,14.161786,12.35148,7018536000
01-07-2013,14.381786,16.33357,14.329286,16.161785,14.095819,6538114800
01-08-2013,16.276787,18.347857,16.187857,17.400715,15.176379,8058338400
01-09-2013,17.610714,18.139999,15.972143,17.026787,14.948299,8630941200
01-10-2013,17.0875,19.258928,17.081429,18.667856,16.389042,7837732000
01-11-2013,18.715,19.940357,18.299286,19.859644,17.435349,5225155600
01-12-2013,19.928572,20.540714,19.242857,20.036428,17.693253,7057397200
01-01-2014,19.845715,20.007143,17.626785,17.878571,15.787749,8765954400
01-02-2014,17.950357,19.685356,17.832144,18.794287,16.596375,5880366800
01-03-2014,18.693571,19.607143,18.671785,19.169287,17.028839,5001698800
01-04-2014,19.205713,21.408215,18.261786,21.074642,18.721443,6435060800
01-05-2014,21.142857,23.006071,20.72607,22.607143,20.082832,5735668400
01-06-2014,22.64143,23.762501,22.232143,23.2325,20.753628,4827739200
01-07-2014,23.379999,24.860001,23.1425,23.9,21.349911,4140344000
01-08-2014,23.725,25.725,23.32,25.625,22.890852,3748308000
01-09-2014,25.764999,25.934999,24.035,25.1875,22.611956,6105680000
01-10-2014,25.147499,27.01,23.795,27,24.239115,5441120800
01-11-2014,27.055,29.9375,26.93,29.7325,26.692209,3281632800
01-12-2014,29.702499,29.8125,26.565001,27.594999,24.880697,4294378400
01-01-2015,27.8475,30,26.157499,29.290001,26.408972,5221053600
01-02-2015,29.512501,33.400002,29.02,32.115002,28.956099,4546140800
01-03-2015,32.3125,32.57,30.407499,31.1075,28.158398,4554568400
01-04-2015,31.205,33.634998,30.775,31.2875,28.321331,3984542000
01-05-2015,31.525,33.2425,30.84,32.57,29.482244,3816608400
01-06-2015,32.57,32.8475,31.120001,31.3575,28.50326,3514426800
01-07-2015,31.725,33.2425,29.805,30.325001,27.564741,4233122400
01-08-2015,30.375,30.6425,23,28.190001,25.624069,6427276400
01-09-2015,27.5375,29.2225,26.84,27.575001,25.178509,4826189200
01-10-2015,27.2675,30.305,26.827499,29.875,27.278622,4450048400
01-11-2015,30.200001,30.955,27.75,29.575001,27.004688,3002562400
01-12-2015,29.6875,29.965,26.205,26.315001,24.130861,3687660800
01-01-2016,25.6525,26.4625,23.0975,24.334999,22.315199,5087392000
01-02-2016,24.1175,24.7225,23.147499,24.172501,22.166189,3243450400
01-03-2016,24.4125,27.605,24.355,27.247499,25.121546,2984198400
01-04-2016,27.195,28.0975,23.127501,23.434999,21.606508,3489534800
01-05-2016,23.4925,25.182501,22.3675,24.965,23.017134,3602686000
01-06-2016,24.754999,25.4725,22.875,23.9,22.169388,3117990800
01-07-2016,23.872499,26.137501,23.592501,26.0525,24.166029,2743118400
01-08-2016,26.102501,27.557501,26,26.525,24.604317,2520514000
01-09-2016,26.535,29.045,25.6325,28.262501,26.358023,3872062400
01-10-2016,28.1775,29.672501,28.07,28.385,26.472263,2747657200
01-11-2016,28.365,28.442499,26.02,27.629999,25.768133,2886220000
01-12-2016,27.592501,29.504999,27.0625,28.955,27.142498,2435086800
01-01-2017,28.950001,30.610001,28.690001,30.3375,28.438459,2252488000
01-02-2017,31.7575,34.369999,31.752501,34.247501,32.103699,2299874400
01-03-2017,34.4725,36.125,34.262501,35.915001,33.81279,2246513600
01-04-2017,35.927502,36.365002,35.014999,35.912498,33.810429,1493216400
01-05-2017,36.275002,39.162498,36.067501,38.189999,35.954628,2615927200
01-06-2017,38.2925,38.994999,35.549999,36.005001,34.037434,2736712400
01-07-2017,36.220001,38.497501,35.602501,37.182499,35.150589,1688047600
01-08-2017,37.275002,41.130001,37.102501,41,38.759468,2644276000
01-09-2017,41.200001,41.235001,37.290001,38.529999,36.56749,2721496400
01-10-2017,38.564999,42.412498,38.115002,42.259998,40.107494,2017165200
01-11-2017,42.467499,44.060001,41.32,42.962502,40.774223,2402653600
01-12-2017,42.487499,44.299999,41.615002,42.307499,40.296925,2124735200
01-01-2018,42.540001,45.025002,41.174999,41.857498,39.868301,2638717600
01-02-2018,41.7925,45.154999,37.560001,44.529999,42.413807,3711577200
01-03-2018,44.634998,45.875,41.235001,41.945,40.114529,2854910800
01-04-2018,41.66,44.735001,40.157501,41.314999,39.512032,2664617200
01-05-2018,41.602501,47.592499,41.317501,46.717499,44.678768,2483905200
01-06-2018,46.997501,48.549999,45.182499,46.2775,44.428642,2110498000
01-07-2018,45.955002,48.990002,45.855,47.572498,45.671898,1574765600
01-08-2018,49.782501,57.217499,49.327499,56.907501,54.633945,2801275600
01-09-2018,57.102501,57.4175,53.825001,56.435001,54.370346,2715888000
01-10-2018,56.987499,58.3675,51.522499,54.715,52.713272,3158994000
01-11-2018,54.762501,55.59,42.564999,44.645,43.011669,3845305600
01-12-2018,46.115002,46.235001,36.647499,39.435001,38.124847,3595690000
01-01-2019,38.7225,42.25,35.5,41.610001,40.227581,3312349600
01-02-2019,41.740002,43.967499,41.482498,43.287498,41.849354,1890162400
01-03-2019,43.57,49.422501,42.375,47.487499,46.106709,2603925600
01-04-2019,47.91,52.119999,47.095001,50.1675,48.70879,2024470800
01-05-2019,52.470001,53.827499,43.747501,43.767502,42.494881,2957826400
01-06-2019,43.900002,50.392502,42.567501,49.48,48.226276,2060874800
01-07-2019,50.7925,55.342499,49.602501,53.259998,51.910507,1895406800
01-08-2019,53.474998,54.5075,48.145,52.185001,50.862743,2724326400
01-09-2019,51.607498,56.605,51.055,55.9925,54.78112,2170268400
01-10-2019,56.267502,62.4375,53.782501,62.189999,60.844543,2433210800
01-11-2019,62.384998,67,62.290001,66.8125,65.367035,1793326000
01-12-2019,66.817497,73.4925,64.072502,73.412498,72.039879,2388794800
01-01-2020,74.059998,81.962502,73.1875,77.377502,75.930733,2934370400
01-02-2020,76.074997,81.805,64.092499,68.339996,67.06221,3019279200
01-03-2020,70.57,76,53.1525,63.572498,62.531921,6280072400
01-04-2020,61.625,73.6325,59.224998,73.449997,72.247734,3265299200
01-05-2020,71.5625,81.059998,71.462502,79.485001,78.18396,2805936000
01-06-2020,79.4375,93.095001,79.302498,91.199997,89.950035,3243375600
01-07-2020,91.279999,106.415001,89.144997,106.260002,104.803627,3020283200
01-08-2020,108.199997,131,107.892502,129.039993,127.271423,4070061100
01-09-2020,132.759995,137.979996,103.099998,115.809998,114.42868,3885245100
01-10-2020,117.639999,125.389999,107.720001,108.860001,107.5616,2894666500
01-11-2020,109.110001,121.989998,107.32,119.050003,117.630043,2123077300
01-12-2020,121.010002,138.789993,120.010002,132.690002,131.333557,2322189600
01-01-2021,133.520004,145.089996,126.379997,131.960007,130.611008,2240262000
01-02-2021,133.75,137.880005,118.389999,121.260002,120.020386,1833855600
01-03-2021,123.75,128.720001,116.209999,122.150002,121.081947,2650418200
01-04-2021,123.660004,137.070007,122.489998,131.460007,130.310547,1889857500
01-05-2021,132.039993,134.070007,122.25,124.610001,123.520439,1711934900
01-06-2021,125.080002,137.410004,123.129997,136.960007,135.993073,1606590000
01-07-2021,136.600006,150,135.759995,145.860001,144.830215,1919035100
01-08-2021,146.360001,153.490005,144.5,151.830002,150.758057,1461542800
01-09-2021,152.830002,157.259995,141.270004,141.5,140.711517,1797835100
01-10-2021,141.899994,153.169998,138.270004,149.800003,148.965256,1565079200
01-11-2021,148.990005,165.699997,147.479996,165.300003,164.378906,1691029000
01-12-2021,167.479996,182.130005,157.800003,177.570007,176.838242,2444766700
01-01-2022,177.830002,182.940002,154.699997,174.779999,174.059723,2108446000
01-02-2022,174.009995,176.649994,152,165.119995,164.439545,1627516300
01-03-2022,164.699997,179.610001,150.100006,174.610001,174.111984,2180800100
01-04-2022,174.029999,178.490005,155.380005,157.649994,157.200348,1687795600
01-05-2022,156.710007,166.479996,132.610001,148.839996,148.415482,2401040300
01-06-2022,149.899994,151.740005,129.039993,136.720001,136.53035,1749099800
01-07-2022,136.039993,163.630005,135.660004,162.509995,162.284576,1447125400
01-08-2022,161.009995,176.149994,157.139999,157.220001,157.001923,1510239600
01-09-2022,156.639999,164.259995,138,138.199997,138.199997,2084237800
01-10-2022,138.210007,147.850006,134.369995,147.270004,147.270004,1257109300
